timestamp,action_type,location_name,target_id,nearest_obs,status
"2025-12-19T12:46:15.406Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:46:16.232Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:46:28.820Z","VIEW_WEATHER","(37.484082939156345, 129.02343750000003)","","강릉","SUCCESS"
"2025-12-19T12:46:39.867Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:46:41.137Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:47:11.908Z","VIEW_WEATHER","(35.188953045549546, 129.14551481295496)","","부산","SUCCESS"
"2025-12-19T12:48:02.171Z","VIEW_WEATHER","(35.15330463476323, 129.12468089018535)","","부산","SUCCESS"
"2025-12-19T12:48:14.486Z","VIEW_WEATHER","(37.132826060304396, 129.16467124493786)","","강릉","SUCCESS"
"2025-12-19T12:49:37.608Z","VIEW_WEATHER","(36.96601507627111, 129.30745145197034)","","강릉","SUCCESS"
"2025-12-19T12:49:53.471Z","VIEW_WEATHER","(35.178219281460905, 129.10983795962628)","","부산","SUCCESS"
"2025-12-19T12:51:38.481Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:51:39.901Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:51:41.420Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:51:42.667Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:52:04.949Z","VIEW_WEATHER","(37.22047397306685, 129.23056980202978)","","강릉","SUCCESS"
"2025-12-19T12:54:19.902Z","VIEW_WEATHER","(35.1, 129.1)","","부산","SUCCESS"
"2025-12-19T12:57:26.735Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:57:27.973Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:57:36.243Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:57:37.499Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:57:47.108Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:57:48.316Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:58:41.984Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:58:43.199Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T12:58:44.451Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
